hnm_code,hn_exclusive,hn_premier,hn_advantage,hn_standard_plus,hn_standard,hn_basic_plus,hn_basic,provider_name,google_name,city,type,group_name,tel_no,area,location
OTH0042,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -Optx 2020 - Dubai Festival Plaza,Al Jaber Optical Dubai Festival Plaza,DUBAI,OPTICAL CENTER,Al Jaber Optical,04-2228208,DUBAI FESTIVAL PLAZA,"Unit No. SU135 , Ground Floor"
OTH0043,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -SAHARA CENTRE 1,Al Jaber Optical Sahara Centre Mall (1) . (1) الجابر للنظارات صحاري سنتر مول,SHARJAH,OPTICAL CENTER,Al Jaber Optical,06-5315445,SAHARA,"Shop No. 145, Ground Floor"
OTH0044,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -SAHARA CENTRE 2,Al Jaber Optical Sahara Centre Mall (2) . (2) الجابر للنظارات سهاره سنتر مول,SHARJAH,OPTICAL CENTER,Al Jaber Optical,06-5542116,SAHARA,"Shop No. 120, Ground Floor"
OTH0045,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -SHARJAH CITY CENTRE,Al Jaber Optical City Centre Sharjah . الجابر للنظارات ستي سنتر الشارقه,SHARJAH,OPTICAL CENTER,Al Jaber Optical,06-5335424,CITY CENTER,"Shop No. U03-04, First Floor"
OTH0046,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -ZERO 6 MALL,Al Jaber Optical Zero 6 Mall . الجابر للنظارات مول 06,SHARJAH,OPTICAL CENTER,Al Jaber Optical,06-5423636,UNIVERSITY ROAD,"Shop No.GF13, Ground Floor"
OTH0047,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -MATAJER JURAINA,Al Jaber Optical Matajer Al Juraina . الجابر للنظارات متاجر الجرينه,SHARJAH,OPTICAL CENTER,Al Jaber Optical,06-5624372,UNIVERSITY ROAD,"Shop No. J002, Ground Floor"
OTH0048,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -AJMAN CITY CENTRE,Al Jaber Optical Ajman City Centre . الجابر للنظارات عجمان سيتي سنتر,AJMAN,OPTICAL CENTER,Al Jaber Optical,06-7432614,CITY CENTER,"Shop No. A23, Ground Floor"
OTH0049,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -MANAR MALL,Al Jaber Optical Manar Mall . الجابر للنظارات منار مول,RAK,OPTICAL CENTER,Al Jaber Optical,07-2276761,MUNTASIR,"Shop No. 82, Ground Floor"
OTH0050,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -Optx 2020 - MANAR MALL - RAK,Optx By Al Jaber Manar Mall,RAK,OPTICAL CENTER,Al Jaber Optical,07-2336792,MUNTASIR,"Shop No. J034, Ground Floor"
OTH0051,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -Optx 2020 - Matajer Jurainah,Al Jaber Optical -Optx 2020 - Matajer Jurainah,SHARJAH,OPTICAL CENTER,Al Jaber Optical,06-5241929,UNIVERSITY ROAD,"Shop No. G002, Ground Floor,"
OTH0052,✔,✔,✔,✔,✔,✖,✖,Al Jaber Optical -Optx 2020 - SAHARA,Optx By Al Jaber - Sahara Centre Mall,SHARJAH,OPTICAL CENTER,Al Jaber Optical,06-5303357,SAHARA,"Shop No.190,Ground Floor, NEW EXTENSION"
OTH0054,✔,✔,✔,✔,✔,✖,✖,Aster Optics (Br of Aster Pharmacies Group LLC,Aster Opticals - Bur Dubai,DUBAI,OPTICAL CENTER,DM Healthcare,04-3512447,KHALID BIN WALEED,"Bait al Waleed Building, Kalid Bin Waleed Road, Near to Al Fahidi Metro Station, Burdubai"
OTH0055,✔,✔,✔,✔,✔,✖,✖,Aster Optics 3 (Br of Aster Opticals LLC),Aster Opticals - Karama,DUBAI,OPTICAL CENTER,DM Healthcare,04-3967100,KARAMA,"Mohammed and Rasheed Khalifa Building, Iranian School Road, Opposite to Union Medical Center
Karama"
OTH0056,✔,✔,✔,✔,✔,✖,✖,Aster Optics 4 (Br of Aster Opticals LLC),Aster Opticals - Al Qusais,DUBAI,OPTICAL CENTER,DM Healthcare,04-2349928,AL QUSAIS,"Shop No.2, Al Qusais Buliding, Damascus Street, Al Qusais"
OTH0057,✔,✔,✔,✔,✔,✖,✖,Aster Optics 5 (Br of Aster Opticals LLC),Aster Opticals - Medcare,DUBAI,OPTICAL CENTER,DM Healthcare,04-3469324,Sheikh Zayed Road,"Shop #1, Matloob Building, Al Safa 1, Sheikh Zayed Road, Near to Medcare Eye care Hospital"
OTH0058,✔,✔,✔,✔,✔,✖,✖,Aster Optics 6 (Br of Aster Opticals LLC),Aster Opticals - Discovery Gardens,DUBAI,OPTICAL CENTER,DM Healthcare,04-4238020,DISCOVERY GARDEN,"Dpv-Rtl-07, Discovery Pavilion Building,  Discovery Garden, Jebel Ali 1, Dubai, UAE"
OTH0059,✔,✔,✔,✔,✔,✖,✖,Aster Optics 7 (Br of Aster Opticals LLC),Aster Optical_The Pointe,DUBAI,OPTICAL CENTER,DM Healthcare,04-5897435,PALM JUMEIRAH,"Shop #15B, The Pointe, Nakheel Mall, Palm Jumeirah, Dubai"
OTH0060,✔,✔,✔,✔,✔,✖,✖,Grand Optics LLC,Aster Opticals - Dcc,DUBAI,OPTICAL CENTER,DM Healthcare,04-2954699,DEIRA,"Unit E19, Ground Floor, Deira City Centre, Dubai"
OTH0061,✔,✔,✔,✔,✔,✖,✖,Grand Optics LLC,Aster Opticals - Mall Of Emirates,DUBAI,OPTICAL CENTER,DM Healthcare,04-3410350,AL BARSHA,"Unit B39, Ground Floor, Mall of the Emirates, Al Barsha, Dubai"
OTH0062,✔,✔,✔,✔,✔,✖,✖,Grand Optics LLC Br,Aster Opticals - Arabian Ranches,DUBAI,OPTICAL CENTER,DM Healthcare,04-3619420,ARABIAN RANCHES,"Wadi Al Safa, Arabian Ranches, Dubai"
OTH0063,✔,✔,✔,✔,✔,✖,✖,Grand Optics LLC,Aster Opticals - Dubai Mall,DUBAI,OPTICAL CENTER,DM Healthcare,04-3398776,DOWNTOWN,"2nd Floor, Unit SF110, The Dubai Mall,Sheikh Mohammed Bin Rashed Boulevard,Downtown, Dubai"
OTH0064,✔,✔,✔,✔,✔,✖,✖,Grand Optics LLC Branch,Aster Opticals - Mirdiff City Center,DUBAI,OPTICAL CENTER,DM Healthcare,04-2840056,MIRDIFF,"Unit C012, Ground Floor, Mirdiff City Centre,Sheikh Mohammed Bin Zayed Rd, Dubai"
OTH0065,✔,✔,✔,✔,✔,✖,✖,Grand Optics LLC Branch,Aster Opticals - Jumeirah Union Cooperative,DUBAI,OPTICAL CENTER,DM Healthcare,04-3943723,JUMEIRAH,"Shop G09, Jumeirah Union Coop, Jumeirah 3, Dubai"
OTH0066,✔,✔,✔,✔,✔,✖,✖,Aster Opticals LLC Br. of Abu Dhabi 1,Aster Opticals,ABU DHABI,OPTICAL CENTER,DM Healthcare,02-5570053,AL SHAHAMA,"Shop no: G10, Al Raha Mall, Al Shahama"
OTH0067,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Galleria Mall,Yateem Optician,DUBAI,OPTICAL CENTER,Yateem Optician,04-3431355,Wasel Street,"Wasel Street, Near Post Office,Dubai"
OTH0068,✔,✔,✔,✔,✔,✖,✖,Sun Eye-JBR Walk,Sun Eye,DUBAI,OPTICAL CENTER,Yateem Optician,04-4250860,JBR Walk,"JBR Walk,Dubai"
OTH0069,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Al Wasl,Yateem Optician-Al Wasl,DUBAI,OPTICAL CENTER,Yateem Optician,04-3436406,Al Wasl Street,"Al Wasl Street, Dubai"
OTH0070,✔,✔,✔,✔,✔,✖,✖,Yateem Optics-Ibn Battuta Mall,Yateem Optics,DUBAI,OPTICAL CENTER,Yateem Optician,04-4210789,Jebel Ali,"Jebel Ali, Dubai"
OTH0071,✔,✔,✔,✔,✔,✖,✖,Occhiali Optician-Bur Juman Centre,Occhiali Vision International,DUBAI,OPTICAL CENTER,Yateem Optician,04-3200686,Burjuman,"Bur Juman, Dubai"
OTH0072,✔,✔,✔,✔,✔,✖,✖,Occhiali Optician-Al Ghurair,Occhiali Vision International,DUBAI,OPTICAL CENTER,Yateem Optician,04-3445020,Deira,"Al Ghurair, Dubai"
OTH0073,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Al Riqqa,Yateem Optician,DUBAI,OPTICAL CENTER,Yateem Optician,04-2222265,Deira,"Al Riqqa Street, Deira, Dubai"
OTH0074,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Al Ghurair,Yateem Optician,DUBAI,OPTICAL CENTER,Yateem Optician,04-2281787,Deira,"Al Ghurair,Dubai"
OTH0075,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-BurJuman Centre,Yateem Optician Level 1,DUBAI,OPTICAL CENTER,Yateem Optician,04-3522067,Burjuman,"Bur Juman, Dubai"
OTH0076,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Emirates Towers,Yateem Optician,DUBAI,OPTICAL CENTER,Yateem Optician,04-3303301,Sheikh Zayed Road,"Sheik Zayed Road, Dubai"
OTH0077,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Jumeira Beach Centr,Yateem Optician,DUBAI,OPTICAL CENTER,Yateem Optician,04-3490909,Jumeirah Beach Centre,"Jumeira, Dubai"
OTH0078,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Diyafah,Yateem Optician,DUBAI,OPTICAL CENTER,Yateem Optician,04-3453405,Diyafa Stret,"Diyafah street, Dubai"
OTH0079,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Atlantis,Yateem Optician,DUBAI,OPTICAL CENTER,Yateem Optician,04-4579440,Palm,"Palm, Dubai"
OTH0080,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Madinat Jumeirah,Yateem Optician,DUBAI,OPTICAL CENTER,Yateem Optician,04-3686512,Madinat Jumeirah,"Madinat Jumeirah, Dubai"
OTH0081,✔,✔,✔,✔,✔,✖,✖,Occhiali Optician-Mall of Emirates,Occhiali Optics,DUBAI,OPTICAL CENTER,Yateem Optician,04-3414020,Al Barsha,"Sheikh Zayed Road, Al Barshaa First, Dubai"
OTH0082,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Mall of the Emirates,Yateem Optician,DUBAI,OPTICAL CENTER,Yateem Optician,04-3414010,Al Barsha,"Al Barsha, Dubai"
OTH0083,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Mirdiff City Centre,Yateem Optician-Mirdiff City Centre,DUBAI,OPTICAL CENTER,Yateem Optician,04-2840660,Sheikh Mohammed Bin Zayed Road,"Sheikh Mohammed Bin Zayed Road, Dubai"
OTH0084,✔,✔,✔,✔,✔,✖,✖,Occhiali Optician-Dubai Mall,Occhiali Vision International,DUBAI,OPTICAL CENTER,Yateem Optician,04-4341303,Financial Centre Road,"Financial Center Rd, Along Sheik zayed road, next to burj khalifa tower - Dubai"
OTH0085,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Dubai Mall,Yateem Optician شركة صيانة افران الغاز وتصليح,DUBAI,OPTICAL CENTER,Yateem Optician,04-4341303,Sheikh Zayed Road,"Financial Center Rd, Along Sheik zayed road, next to burj khalifa tower - Dubai"
OTH0086,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Arabian Centre,Yateem Optician Arabian Center,DUBAI,OPTICAL CENTER,Yateem Optician,04-2845505,Al Khawaneej Street,"Al Khawaneej Street, Al Mizhar 1, Dubai"
